Title,Price,Location,Bedrooms,Bathrooms,URL
"Property in Lagos","0","","","","https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ikeja/gra/3266431-furnished-4-bedroomd-terraced-duplex-with-a-bq-in-a-gra"
"One-Bedroom Studio Apartment- Lekki","70000","Lekki","","","https://cwlagos.com/property/one-bedroom-studio-apartment-lekki/"
"4-Bedroom Apartment- Lekki phase 1","250000","Lekki","","","https://cwlagos.com/property/4-bedroom-apartment-lekki-phase-1/"
"Victoria Island, Eti Osa, Lagos State, Nigeria","0","","","","https://maps.google.com/maps?q=+Victoria+Island%2C+Eti+Osa%2C+Lagos+State%2C+Nigeria&zoom=14&size=512x512&maptype=roadmap&sensor=false"
"3-Bedroom Waterfront Apartment","550000","Victoria Island","","","https://cwlagos.com/property/3-bedroom-waterfront-apartment/"
"Outstanding 5-Bedroom Smart Home","690000000","Chevron","","","https://cwlagos.com/property/outstanding-5-bedroom-smart-home/"
"Exclusive 4 Bedroom Maisonette with Swimming Pool","1100000","Ikoyi","4","","https://cwlagos.com/property/exclusive-4-bedroom-maisonette-with-swimming-pool-2/"
"Luxury 5 Bedroom Detached Duplex plus BQ","1300000000","Lekki","5","","https://cwlagos.com/property/luxury-5-bedroom-detached-duplex-plus-bq/"
"Pinnock Beach Estate, Lekki, Lagos.","0","","","","https://maps.google.com/maps?q=Pinnock+Beach+Estate%2C+Lekki%2C+Lagos.&zoom=14&size=512x512&maptype=roadmap&sensor=false"
"Beautifully Furnished 6 Bedroom Villa with 2 BQs","1600000000","Lekki","6","","https://cwlagos.com/property/beautifully-furnished-6-bedroom-villa-with-2-bqs/"
"Luxury 3 Bedroom Maisonette with BQ","900000000","Ikoyi","3","","https://cwlagos.com/property/luxury-3-bedroom-maisonette-with-bq/"
"5-Bedroom detached villa","1000000000","","","","https://cwlagos.com/property/5-bedroom-villa-3/"
"5 Bedroom Fully Detached Smart Home in Lekki Phase 1","1400000000","Lekki","5","","https://cwlagos.com/property/5-bedroom-fully-detached-smart-home-in-lekki-phase-1/"
"4 BEDROOM HOUSE FOR SALE AT VICTORIA ISLAND","350000000","","4","","https://castles.com.ng/estate_property/4-bedroom-house-for-sale-at-victoria-island/"
"600 SQM Landed Property, Abijo GRA, Lekki","20000000","","","","https://ramosrealestateng.com/status/land/"
"600 Sqm Landed Property, Ketu, Epe","20000000","","","","https://ramosrealestateng.com/status/land/"
"600 Sqm Land in Lekki-Epe Expressway, Sangotedo","20000000","","","","https://ramosrealestateng.com/status/land/"
"3 Bedroom Terrace Duplex, Ologolo Lekki,","7500000","","56","","https://ramosrealestateng.com/status/for-rent/"
"2 Bedroom Apartment, Osapa, Lekki","7500000","","56","","https://ramosrealestateng.com/status/for-rent/"
"4 Bedroom Semi Detached Duplex, Orchid Lekki","7500000","","56","","https://ramosrealestateng.com/status/for-rent/"